county,school_or_school_district,type,student_cases_new,student_cases_cumulative,staff_cases_new,staff_cases_cumulative
Scioto,Minford Local,Public District,1,26,1,26
Scioto,New Boston Local,Public District,0,6,0,6
Scioto,Northwest Local,Public District,1,24,1,17
Scioto,Scioto County Career Technical Center,Joint Vocational School District,0,27,0,3
Scioto,South Central Ohio ESC,Educational Service Center,0,0,2,27
Scioto,Valley Local,Public District,2,18,0,16
Scioto,Washington-Nile Local,Public District,0,29,0,22
Scioto,Wheelersburg Local,Public District,6,40,0,11
Seneca,Bridges Community Academy,Community School,0,1,0,1
Seneca,Calvert Catholic School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Seneca,Calvert Catholic Schools,Private School,1,9,0,4
Seneca,Fostoria City,Public District,2,22,0,29
Seneca,Hopewell-Loudon Local,Public District,0,29,0,9
Seneca,New Riegel Local,Public District,2,9,0,4
Seneca,North Central Academy ,Community School,1,6,0,3
Seneca,North Central Ohio ESC,Educational Service Center,0,0,0,3
Seneca,Old Fort Local,Public District,3,18,0,10
Seneca,Seneca County Board of DD,County Board of Developmental Disabilities,0,2,0,8
Seneca,Seneca East Local,Public District,2,14,1,7
Seneca,Tiffin City Schools,Public District,9,50,2,28
Seneca,Tiffin Devel And Mh Center,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Richland,Pioneer Career & Technology,Joint Vocational School District,1,25,2,12
Richland,Shelby City,Public District,5,21,4,22
Richland,St Mary,Private School,0,0,0,2
Richland,St Mary,Preschool,0,1,0,0
Shelby,Anna Local,Public District,0,24,0,10
Shelby,Botkins Local,Public District,1,5,0,3
Shelby,Christian Academy Schools,Private School,0,2,0,2
Shelby,Fairlawn Local,Public District,0,13,0,6
Shelby,Fleming Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Shelby,Fort Loramie Local,Public District,0,9,0,10
Shelby,Hardin-Houston Local,Public District,0,11,0,9
Shelby,Holy Angels,Private School,0,1,0,6
Shelby,Jackson Center Local,Public District,0,9,0,1
Shelby,Lehman High School,Private School,0,15,0,1
Shelby,North Star Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Shelby,Pineview Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Shelby,Russia Local,Public District,0,7,0,4
Shelby,Shelby County Board of DD,County Board of Developmental Disabilities,0,0,0,3
Shelby,Sidney City,Public District,5,62,1,26
Hamilton,Calvary Academy The,Private School,1,1,0,3
Stark,Ave Maria Homeschool,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Canton Country Day School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Canton Country Day School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Canton Local,Public District,4,66,4,45
Stark,Canton Montessori Association,Private School,0,2,1,1
Stark,Central Catholic,Private School,1,23,0,9
Stark,Christ the King Catholic Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Divine Mercy Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Fairless Local,Public District,3,46,5,31
Stark,Faith Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Good Shepherd School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Guardian Angel,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Holy Cross Prek And Kdg,Private School,0,1,0,2
Stark,IDEA House Educational Services,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Jackson Local,Public District,9,149,3,93
Stark,Lake Center Christian School,Private School,0,36,0,24
Stark,Lake Center Christian School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Lake Local,Public District,11,186,2,55
Stark,Louisville City,Public District,2,62,1,31
Stark,Marlington Local,Public District,4,24,1,8
Stark,Mary Help of Christians Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Minerva Area Christian,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Minerva Area Christian,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Minerva Local,Public District,5,48,1,27
Stark,New Franklin Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,North Canton City,Public District,10,121,6,58
Stark,Northwest Local,Public District,1,69,2,33
Stark,Osnaburg Local,Public District,1,29,3,21
Stark,Our Lady Seat of Wisdom Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Perry Local,Public District,2,142,2,70
Stark,Plain Local,Public District,16,153,5,99
Stark,Sacred Heart of Jesus Catholic School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Sandy Valley Local,Public District,0,37,0,28
Stark,St Elizabeth Ann Seton,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,St James,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,St James,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,St Joan Of Arc,Private School,0,3,0,2
Stark,St Joan Of Arc,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,St John Paul the Great Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,St Joseph the Worker School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,St Michael,Private School,0,7,0,2
Stark,St Michael,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,St Paul,Private School,0,4,1,9
Stark,St Paul,Preschool,0,1,0,0
Stark,St Thomas Aquinas,Private School,0,10,0,5
Stark,St. Paul Preschool,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Stark County Board of DD,County Board of Developmental Disabilities,2,7,1,12
Stark,Stark County ESC,Educational Service Center,0,4,1,41
Stark,Sts Philip And James,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Tuslaw Local,Public District,7,32,4,25
Stark,Aletheia Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,The School House,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,A World of Learning Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Absorbent Minds Montessori School - Tallmadge,Private School,No Cases Reported,2,No Cases Reported,4
Summit,Academy of the Immaculate Heart of Mary,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Agnus Dei Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Akron City,Public District,No Cases Reported,20,No Cases Reported,85
Summit,Akron First Academy and Preschool,Private School,No Cases Reported,0,No Cases Reported,3
Summit,Akron Montessori,Private School,No Cases Reported,1,No Cases Reported,0
Summit,Akron Montessori,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Akron Preparatory School,Community School,No Cases Reported,0,No Cases Reported,2
Summit,Akros Middle School,Community School,No Cases Reported,0,No Cases Reported,0
Summit,Archbishop Hoban,Private School,No Cases Reported,20,No Cases Reported,6
Summit,Arlington Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Barberton City,Public District,No Cases Reported,32,No Cases Reported,43
Summit,Beacon Hill Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Brittany Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Cascade Career Prep High School,Community School,No Cases Reported,0,No Cases Reported,1
Summit,Case Preparatory Academy,Community School,No Cases Reported,0,No Cases Reported,2
Summit,Chapel Hill Christian Green Campus,Private School,No Cases Reported,0,No Cases Reported,1
Summit,Chapel Hill Christian Green Campus,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Chapel Hill Christian North,Private School,No Cases Reported,1,No Cases Reported,5
Summit,Chapel Hill Christian North,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Copley-Fairlawn City,Public District,No Cases Reported,78,No Cases Reported,25
Summit,Corinthian Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Cornerstone Community,Private School,No Cases Reported,1,No Cases Reported,0
Summit,Cornerstone Community,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Coventry Local,Public District,No Cases Reported,19,No Cases Reported,25
Summit,Cuyahoga Falls City,Public District,No Cases Reported,29,No Cases Reported,29
Summit,Cuyahoga Valley Christian Acad,Private School,No Cases Reported,24,No Cases Reported,11
Summit,Discovery Montessori School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Eagle Elementary of Akron,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Edge Academy  The,Community School,No Cases Reported,2,No Cases Reported,1
Summit,Emmanuel Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Emmanuel Christian Academy,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Emmanuel Christian Academy,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Faith Islamic Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Garret Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Greater Summit County Early Learning Center,Community School,No Cases Reported,0,No Cases Reported,0
Summit,Green Local,Public District,No Cases Reported,44,No Cases Reported,30
Summit,Hametown Christian Academy,Private School,No Cases Reported,1,No Cases Reported,0
Summit,Heiser Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Heritage Classical Academy,Private School,No Cases Reported,1,No Cases Reported,6
Summit,Holy Family,Private School,No Cases Reported,2,No Cases Reported,1
Summit,Holy Family,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Holy Family of Nazareth,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Hope Liberty Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Hudson City,Public District,No Cases Reported,94,No Cases Reported,42
Summit,Hudson Montessori,Private School,No Cases Reported,0,No Cases Reported,3
Summit,Hudson Montessori,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Imagine Akron Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Imagine Leadership Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Immaculate Heart Of Mary,Private School,No Cases Reported,2,No Cases Reported,0
Summit,Immaculate Heart Of Mary,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Julie Billiart School of St Sebastian Parish,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Kids Country School,Private School,No Cases Reported,0,No Cases Reported,2
Summit,Kids Country-Green Campus,Private School,No Cases Reported,0,No Cases Reported,1
Summit,Lawrence School-Upper School Campus,Private School,No Cases Reported,6,No Cases Reported,2
Summit,Le Chaperon Rouge- Hudson Campus,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Liberty Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Liberty School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Lord's Light School The,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Love 4 Learning Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Lux Mundi Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Main Preparatory Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Manchester Local,Public District,No Cases Reported,43,No Cases Reported,20
Summit,Mayfair Christian School,Private School,No Cases Reported,1,No Cases Reported,2
Summit,Middlebury Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Mogadore Local,Public District,No Cases Reported,9,No Cases Reported,4
Summit,Nordonia Hills City,Public District,No Cases Reported,82,No Cases Reported,38
Summit,Norton City,Public District,No Cases Reported,32,No Cases Reported,23
Summit,Old Trail,Private School,No Cases Reported,4,No Cases Reported,1
Summit,Our Lady Of The Elms,Private School,No Cases Reported,2,No Cases Reported,0
Summit,Our Lady Of The Elms,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Parkview Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Pinson Palace,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Portage Lakes ,Joint Vocational School District,No Cases Reported,12,No Cases Reported,0
Summit,Redeemer Lutheran,Private School,No Cases Reported,2,No Cases Reported,2
Summit,Redeemer Lutheran,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Revere Local,Public District,No Cases Reported,51,No Cases Reported,23
Summit,S.U.P.E.R. Learning Center's Faith Christian Academy,Private School,No Cases Reported,1,No Cases Reported,1
Summit,Saint Peregrine Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Sapientia Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Schnee Learning Center,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Seton Catholic,Private School,No Cases Reported,6,No Cases Reported,1
Summit,Spring Garden,Private School,No Cases Reported,1,No Cases Reported,0
Summit,Spring Garden,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Springfield Local,Public District,No Cases Reported,23,No Cases Reported,21
Summit,St Anthony Of Padua,Private School,No Cases Reported,1,No Cases Reported,1
Summit,St Augustine,Private School,No Cases Reported,1,No Cases Reported,1
Summit,St Barnabas,Private School,No Cases Reported,15,No Cases Reported,4
Summit,St Barnabas,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,St Francis De Sales,Private School,No Cases Reported,2,No Cases Reported,2
Summit,St Francis De Sales,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,St Hilary,Private School,No Cases Reported,8,No Cases Reported,9
Summit,St Joseph,Private School,No Cases Reported,1,No Cases Reported,1
Summit,St Joseph,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,St Mary Elementary,Private School,No Cases Reported,0,No Cases Reported,2
Summit,St Matthew Parish School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,St Matthew Parish School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,St Sebastian,Private School,No Cases Reported,3,No Cases Reported,1
Summit,St Sebastian,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,St Vincent De Paul,Private School,No Cases Reported,0,No Cases Reported,2
Summit,St Vincent De Paul,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,St Vincent St Mary,Private School,No Cases Reported,15,No Cases Reported,6
Summit,Steel Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Stow-Munroe Falls City School District,Public District,No Cases Reported,68,No Cases Reported,47
Summit,Streamview Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Summit Academy Akron Elementary School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Summit Academy Akron Middle School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Summit Academy Secondary - Akron,Community School,No Cases Reported,0,No Cases Reported,1
Summit,Summit Christian School,Private School,No Cases Reported,3,No Cases Reported,2
Summit,Summit County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Summit County ESC,Educational Service Center,No Cases Reported,2,No Cases Reported,10
Summit,Tallmadge City,Public District,No Cases Reported,28,No Cases Reported,20
Summit,TES School,Private School,No Cases Reported,1,No Cases Reported,4
Summit,TES School,Preschool,No Cases Reported,0,No Cases Reported,1
Summit,The Lippman School,Private School,No Cases Reported,0,No Cases Reported,0
Summit,Towpath Trail High School,Community School,No Cases Reported,2,No Cases Reported,6
Summit,Twinsburg City,Public District,No Cases Reported,102,No Cases Reported,41
Summit,Veritas et Erudition Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Walsh Jesuit,Private School,No Cases Reported,29,No Cases Reported,7
Summit,Western Reserve Academy,Private School,No Cases Reported,4,No Cases Reported,8
Summit,Woodridge Local,Public District,No Cases Reported,41,No Cases Reported,27
Lucas,565 Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Academy of Educational Excellence,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Achieve Career Preparatory Academy,Community School,0,0,0,0
Lucas,Anthony Wayne Local,Public District,6,125,6,68
Lucas,Apostolic Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Autism Model School,Community School,0,0,0,0
Lucas,Bennett Venture Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Blessed Heritage Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Blessed Sacrament,Private School,1,4,0,4
Lucas,Cardinal Stritch Catholic High School & Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Cardinal Stritch Catholic High School & Academy,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Cardinal Stritch Catholic High School & Academy,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,CCMT Catholic School,Private School,0,0,0,1
Lucas,Central Academy of Ohio,Community School,0,0,0,2
Lucas,Central Catholic,Private School,0,20,0,9
Lucas,Christ The King,Private School,0,11,0,4
Lucas,Christ The King,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Discovery Academy,Community School,0,0,0,9
Lucas,Discovery Express School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Discovery Express School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Eagle Learning Center,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Emmanuel  Christian School,Private School,0,12,0,3
Lucas,ESC of Lake Erie West,Educational Service Center,0,0,1,17
Lucas,Gesu,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Gesu,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Glass City Academy,Community School,0,1,0,1
Lucas,Good Shepherd Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Grace Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Gratia Dei School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Hope Learning Academy of Toledo,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Horizon Science Academy Toledo,Community School,0,0,0,1
Lucas,Horizon Science Academy-Springfield,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,iLEAD Spring Meadows,Community School,1,2,0,4
Lucas,Imagine Environmental Science Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Kenmore Preparatory Academy dba Toledo Preparatory Academy,Community School,0,1,0,3
Lucas,L. Hollingworth School for Talented and Gifted,Community School,0,0,0,5
Lucas,Lial Catholic School,Private School,0,5,0,2
Lucas,Lial Catholic School,Preschool,0,1,0,0
Lucas,Lucas County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Madison Avenue School of Arts,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Maritime Academy of Toledo  The,Community School,0,5,0,3
Lucas,Maumee City,Public District,4,43,1,26
Lucas,Maumee Valley Country Day,Private School,2,19,0,9
Lucas,Maumee Valley Country Day,Preschool,0,0,0,3
Lucas,Monclova Christian School,Private School,0,0,0,1
Lucas,New Horizons Academy Springfield,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Northwest Ohio Classical Academy,Community School,0,0,0,1
Lucas,Northwest Ohio Develop Center,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Notre Dame Academy,Private School,3,36,3,16
Lucas,Ohio Digital Learning School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Ohio Virtual Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Oregon City,Public District,0,86,0,61
Lucas,Ottawa Hills Local,Public District,0,28,0,4
Lucas,Our Lady Of Perpetual Help,Private School,0,5,0,4
Lucas,Our Lady Of Perpetual Help,Preschool,0,0,0,0
Lucas,Regina Coeli,Private School,0,3,0,2
Lucas,Rise & Shine Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Skyway Career Prep High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Springfield Local,Public District,5,33,6,71
Lucas,St Benedict Catholic School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,St Benedict Catholic School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,St Catherine of Siena Early Childhood Education Center,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,St Francis De Sales School,Private School,0,26,0,10
Lucas,St Joan Of Arc,Private School,0,5,0,3
Lucas,St Joan Of Arc,Preschool,0,0,0,0
Lucas,St John's Jesuit,Private School,1,31,0,11
Lucas,St Joseph,Private School,0,7,0,6
Lucas,St Joseph,Private School,2,12,1,3
Lucas,St Joseph,Preschool,0,1,1,4
Lucas,St Joseph,Preschool,0,1,0,0
Lucas,St Patrick Of Heatherdowns,Private School,0,8,0,2
Lucas,St Patrick Of Heatherdowns,Preschool,0,0,0,0
Lucas,St Pius X,Private School,0,3,0,2
Lucas,St Pius X,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,St Pius X Parish Center Preschool,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,St Ursula Academy,Private School,1,20,0,11
Lucas,Summit Academy - Toledo,Community School,0,1,0,1
Lucas,SunBridge Schools,Community School,0,0,2,6
Lucas,Sylvania Schools,Public District,10,150,6,96
Lucas,The Autism Academy Of Learning,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,The Bounty Collegium,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Toledo Christian,Private School,5,39,4,16
Lucas,Toledo Christian,Preschool,0,0,0,2
Lucas,Toledo City,Public District,0,27,0,202
Lucas,Toledo Islamic Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Toledo Islamic Academy,Preschool,0,3,0,1
Lucas,Toledo Junior Academy,Private School,0,0,0,0
Lucas,Toledo Preparatory and Fitness Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Toledo School For The Arts,Community School,0,28,0,6
Lucas,Trinity Lutheran,Private School,0,1,0,5
Lucas,Trinity Lutheran,Preschool,0,0,0,3
Lucas,Washington Local ,Public District,0,80,0,94
Lucas,West Side Montessori,Private School,0,1,0,3
Lucas,West Side Montessori Center - Bancroft,Preschool,0,0,0,1
Lucas,West Side Montessori Center - Bancroft,Before and After School Programs,0,0,0,0
Lucas,Wildwood Environmental Academy,Community School,0,0,0,7
Lucas,Winterfield Venture Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lucas,Zion Lutheran,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Summit,Alternative Education Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Trumbull,Bloomfield-Mespo Local,Public District,0,5,2,8
Trumbull,Bristol Local,Public District,6,10,0,4
Trumbull,Brookfield Local ,Public District,0,6,0,5
Trumbull,Champion Local,Public District,0,34,0,15
Trumbull,Daroda Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Trumbull,Girard City School District,Public District,0,4,0,9
Trumbull,Howland Local,Public District,0,26,0,17
Trumbull,Hubbard Exempted Village,Public District,1,14,2,21
Trumbull,Joseph Badger Local,Public District,2,3,1,5
Trumbull,LaBrae Local,Public District,0,14,0,17
Trumbull,Lakeview Local,Public District,0,14,0,5
Trumbull,Liberty Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Trumbull,Liberty Local,Public District,1,5,0,8
Trumbull,Lordstown Local,Public District,2,5,0,4
Trumbull,Maplewood Local,Public District,0,3,0,5
Trumbull,Mathews Local,Public District,1,11,0,14
Trumbull,McDonald Local,Public District,0,5,1,9
Trumbull,Newton Falls Exempted Village,Public District,0,9,0,9
Trumbull,Niles City,Public District,0,17,0,20
Trumbull,RYSE Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Trumbull,Shekinah Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Trumbull,Southington Local,Public District,0,0,0,2
Trumbull,St Patrick,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Trumbull,St Rose,Private School,0,5,0,2
Trumbull,Trumbull Career & Tech Ctr,Joint Vocational School District,1,13,0,4
Trumbull,Trumbull County Board of DD,County Board of Developmental Disabilities,0,0,0,8
Trumbull,Trumbull County ESC,Educational Service Center,1,5,0,16
Trumbull,Victory Christian,Private School,1,3,0,2
Trumbull,Victory Christian,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Trumbull,Villa Maria Teresa,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Trumbull,Weathersfield Local,Public District,0,6,0,6
Tuscarawas,Claymont City,Public District,4,39,0,39
Tuscarawas,Dover City,Public District,7,97,4,48
Tuscarawas,Garaway Local,Public District,2,22,2,22
Tuscarawas,Immaculate Conception,Private School,0,0,0,5
Tuscarawas,Immaculate Conception,Preschool,0,0,0,0
Tuscarawas,Indian Valley Local,Public District,2,35,1,36
Tuscarawas,Little House on the Hill Higher Learning Center,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Tuscarawas,Newcomerstown Exempted Village,Public District,2,17,4,21
Tuscarawas,Strasburg-Franklin Local,Public District,0,15,0,11
Tuscarawas,Tuscarawas Central Catholic Elementary School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Tuscarawas,Tuscarawas Central Catholic Elementary School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Tuscarawas,Tuscarawas Valley Local,Public District,1,16,0,12
Union,Christian Academy,Private School,0,0,0,0
Union,Fairbanks Local,Public District,3,58,0,16
Union,Marysville Exempted Village,Public District,9,102,4,92
Union,North Union Local School District,Public District,1,14,3,14
